id;start_date;end_date;language
1;2022-08-24T12:10:56;2022-08-24T10:01:11;ENGLISH
2;2022-08-23T21:38:31;2022-08-24T07:04:00;FRENCH
3;2022-08-24T07:34:43;2022-08-23T19:39:51;SPANISH
4;2022-08-24T12:05:32;2022-08-23T17:31:51;FRENCH
5;2022-08-24T14:21:55;2022-08-23T22:40:53;ENGLISH
6;2022-08-23T23:52:38;2022-08-24T13:52:58;SPANISH
7;2022-08-24T07:56:26;2022-08-23T18:30:35;FRENCH
8;2022-08-23T22:22:19;2022-08-23T18:58:08;FRENCH
9;2022-08-23T23:13:57;2022-08-24T10:45:23;FRENCH
10;2022-08-23T19:10:55;2022-08-24T12:08:24;FRENCH
